"id","artist_id","title","release_date","cover_url","demos","activate","cover_url_public_identifier","image_description","album_description","genre","album_type","album_pricing"
"107",20,"So Emotional","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760019826/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/40f19c3eea7a4320f33bd1fb8df18d81.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/40f19c3eea7a4320f33bd1fb8df18d81","","","pop","digital",1000
"108",21,"Also is here  demo","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020040/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/fae4c5c146798bd359dadc6c9206bd17.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/fae4c5c146798bd359dadc6c9206bd17","","","pop","digital",1000
"109",22,"Everyday","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020101/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/693adb1b3f0ca9f2f89f7bd943a094ee.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/693adb1b3f0ca9f2f89f7bd943a094ee","","","rnb","digital",1000
"110",23,"Tender Lover","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020158/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/b8379507b66df82ba7dee2721362f125.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/b8379507b66df82ba7dee2721362f125","","","rnb","digital",1300
"111",24,"Britney I here demo","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020225/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/3fd6202a168d0447afd1af55ab6469c3.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/3fd6202a168d0447afd1af55ab6469c3","","","pop","digital",1200
"112",25,"Brown Sugar","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020271/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/235638e3e949d2b899b1fd89e8636cb5.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/235638e3e949d2b899b1fd89e8636cb5","","","rnb soul","digital",1500
"113",26,"Classic Soul of Alexis FFrench","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020374/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/e58ee18b0191af6b8e336159725d8d4b.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/e58ee18b0191af6b8e336159725d8d4b","","","instrumental soul","digital",1100
"114",27,"Great Soul  Covers","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020443/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/a5141fe626d3a686b01ea2fb944dddfc.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/a5141fe626d3a686b01ea2fb944dddfc","","","soul","digital",1000
"115",28,"Dancing On The Ceiling ","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020545/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/a37030b94ae1297317ac3243d794a567.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/a37030b94ae1297317ac3243d794a567","","","pop","digital",1000
"116",29,"Luther Vandross I'm here demo","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020624/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/0350ea9dc8cf1d0879e8f26bb281fe2e.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/0350ea9dc8cf1d0879e8f26bb281fe2e","","","rnb soul","digital",1300
"117",30,"More Drama","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020668/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/c49e9347c83c8b8349a10214fc7c3db7.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/c49e9347c83c8b8349a10214fc7c3db7","","","rnb","digital",1000
"118",31,"Thriller","2025-10-09","https://res.cloudinary.com/webprojectimages/image/upload/v1760020719/SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/33c7fd0175549bebbb147323d2348a9d.jpg",1,0,"SoulFeltMusic/SoulFeltMusicImages/DemoImages/AlbumCoversDemos/33c7fd0175549bebbb147323d2348a9d","","","pop","digital",1300
