"id","album_id","title","duration","audio_url","demos","top_track","featured_track","activate","release_date","audio_url_public_identifier","tags","file_size","format","audio_description","genre","track_pricing","is_new","is_popular","is_recommended","top_tracks","artist_image_id"
"1",107,"So Emotional","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301374/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a5bd41e399f60a1f56af6ce4b4043b2d.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a5bd41e399f60a1f56af6ce4b4043b2d","","","","","pop soul","",0,0,0,1,17
"2",108,"Before you love me","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301472/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/604fe38f29202db95aa63862e5fe5a06.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/604fe38f29202db95aa63862e5fe5a06","","","","","","",0,0,0,0,""
"3",109,"Everyday","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301529/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/8da99134f3aad10ffafa002f21639e81.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/8da99134f3aad10ffafa002f21639e81","","","","","gospel","",0,0,0,1,""
"4",110,"Whip Appeal","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301583/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/95871f45cad0f48ea2378b5e436c0368.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/95871f45cad0f48ea2378b5e436c0368","","","","","rnb soul ","",0,0,0,0,""
"5",111,"Baby one more time","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301628/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/fd41fba199786f5ed0ddb32cd840bdc9.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/fd41fba199786f5ed0ddb32cd840bdc9","","","","","pop","",0,0,0,1,""
"6",112,"Brown Sugar","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301656/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/9bd10aea9987b56f96d6dfa0b79aaa0a.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/9bd10aea9987b56f96d6dfa0b79aaa0a","","","","","rnb soul","",0,0,0,0,""
"7",113,"Classic Soul","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301700/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/49757a35e97b8e920d4155ce840e81d0.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/49757a35e97b8e920d4155ce840e81d0","","","","","easylistening","",0,0,0,1,""
"8",114,"One in a Million","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301749/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a6893a4ddb8eff61bd7e6399c17fdab3.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a6893a4ddb8eff61bd7e6399c17fdab3","","","","","soul","",0,0,0,0,""
"9",115,"Dancing on the Ceiling","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301792/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/78c79adc89b6a1cb85c042ec2d5ff13c.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/78c79adc89b6a1cb85c042ec2d5ff13c","","","","","Pop rock","",0,0,0,1,""
"10",116,"Luther Vandross I'm here","","https://res.cloudinary.com/webprojectimages/video/upload/v1760301821/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/dec4b681c74d6c74a6920ec2704a5827.mp3",1,0,0,0,"2025-10-09","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/dec4b681c74d6c74a6920ec2704a5827","","","","","rnb soul","",0,0,0,0,""
