"id","artist_id","album_id","promote_track","title","demos","top_track","featured_track","promo_audio_url","activate","release_date","promo_audio_url_public_identifier","audio_description","tags","file_size","format","genre","artist_image_id"
"1",20,107,1,"So emotional promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302251/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a827e5c1d9fce8cbf95da8054fa10f26.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/a827e5c1d9fce8cbf95da8054fa10f26","","","629467","mp3","pop soul","0"
"2",21,108,0,"Before you love me promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302319/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/9b7f41036c995d9f62d9d89e522221ed.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/9b7f41036c995d9f62d9d89e522221ed","","","599688","mp3","pop",""
"3",22,109,0,"Everyday Jesus","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302423/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/2bd812cb9c24c60662fd4f5ac94afee6.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/2bd812cb9c24c60662fd4f5ac94afee6","","","599688","mp3","gospel",""
"4",23,110,0,"Whip Appeal","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302501/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/7694f07652746dbdd619807e35a5e47d.mp3",1,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/7694f07652746dbdd619807e35a5e47d","","","599688","mp3","soul",""
"5",24,111,0,"Baby one more time promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302572/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/ff623977920aa9b8d50c1ebbfa3426d4.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/ff623977920aa9b8d50c1ebbfa3426d4","","","599688","mp3","pop",""
"6",25,112,0,"Brown Sugar promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302640/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/c6f6271c99439ee6da6a36777a1a0cd2.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/c6f6271c99439ee6da6a36777a1a0cd2","","","569908","mp3","rnb soul",""
"7",26,113,0,"Classic soul promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302701/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/47a4e29b7599c19e048e141fcd728bd2.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/47a4e29b7599c19e048e141fcd728bd2","","","599688","mp3","instrumental soul",""
"8",27,114,0,"One in a Milllion promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302816/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/0d61c01941ac0eb7642f4750f552ea8a.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/0d61c01941ac0eb7642f4750f552ea8a","","","569908","mp3","soul",""
"9",28,115,0,"Dancing on the ceiling promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302881/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/1ad26ba67ae90bf4d12ad45933cc9dd7.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/1ad26ba67ae90bf4d12ad45933cc9dd7","","","599688","mp3","pop soul",""
"10",29,116,0,"Never too much promo","1",0,1,"https://res.cloudinary.com/webprojectimages/video/upload/v1760302949/SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/1b48fe5aab228ee0d95e21d65ffbd502.mp3",0,"2025-10-12","SoulFeltMusic/SoulFeltMusicAudio/DemoTracksWebdev/DemoTrack/1b48fe5aab228ee0d95e21d65ffbd502","","","599688","mp3","rnb soul",""
